Id,Weekly_Sales
1_9_2013-07-05,29746.9395928
1_9_2013-07-12,23415.1016486
1_9_2013-07-19,23513.9446378
1_9_2013-07-26,23936.6732065
1_10_2012-11-02,30660.2736838
1_10_2012-11-09,30647.4556227
1_10_2012-11-16,29620.2588439
1_10_2012-11-23,30349.6457924
1_10_2012-11-30,28791.1821169
1_10_2012-12-07,30685.7979844
1_10_2012-12-14,29980.1239298
1_10_2012-12-21,30350.0101503
1_10_2012-12-28,27658.1921725
1_10_2013-01-04,27898.6918248
1_10_2013-01-11,24805.7055163
1_10_2013-01-18,24848.7063778
1_10_2013-01-25,24740.4870213
1_10_2013-02-01,33018.7134228
1_10_2013-02-08,36544.0001389
1_10_2013-02-15,37151.3871436
1_10_2013-02-22,36625.7692435
1_10_2013-03-01,36686.5154011
1_10_2013-03-08,35162.3927017
1_10_2013-03-15,34315.2281541
1_10_2013-03-22,34533.1954953
1_10_2013-03-29,36768.8733521
1_10_2013-04-05,34819.819314
1_10_2013-04-12,31851.4371051
1_10_2013-04-19,31844.9617133
1_10_2013-04-26,30836.9105598
1_10_2013-05-03,34225.0781536
1_10_2013-05-10,33435.2279724
1_10_2013-05-17,30783.1681403
1_10_2013-05-24,32517.9335533
1_10_2013-05-31,33042.6954283
1_10_2013-06-07,34994.6349007
1_10_2013-06-14,32045.3430305
1_10_2013-06-21,31703.6622355
1_10_2013-06-28,32141.8090909
1_10_2013-07-05,35543.0194833
1_10_2013-07-12,31363.4946316
1_10_2013-07-19,30389.5046256
1_10_2013-07-26,29911.4512806
1_11_2012-11-02,25370.8455595
1_11_2012-11-09,22687.5067501
1_11_2012-11-16,23335.0134274
1_11_2012-11-23,28391.5766827
1_11_2012-11-30,27947.2711203
1_11_2012-12-07,29000.8579783
1_11_2012-12-14,28978.5624618
1_11_2012-12-21,30757.8718284
1_11_2012-12-28,26509.1016971
1_11_2013-01-04,25118.6585222
1_11_2013-01-11,23855.40318
1_11_2013-01-18,22593.4973543
1_11_2013-01-25,19917.0817249
1_11_2013-02-01,22743.4846121
1_11_2013-02-08,23130.5298098
1_11_2013-02-15,24324.990285
1_11_2013-02-22,22965.7017551
1_11_2013-03-01,24521.4569236
1_11_2013-03-08,23915.4387263
1_11_2013-03-15,23239.2523319
1_11_2013-03-22,22547.5474491
1_11_2013-03-29,22512.7437611
1_11_2013-04-05,23111.3322128
1_11_2013-04-12,22534.6534242
1_11_2013-04-19,21260.7449412
1_11_2013-04-26,20321.0170936
1_11_2013-05-03,22738.5632302
1_11_2013-05-10,22613.0789169
1_11_2013-05-17,23013.8108283
1_11_2013-05-24,26542.4633314
1_11_2013-05-31,27211.1201816
1_11_2013-06-07,31116.9745557
1_11_2013-06-14,27216.1725256
1_11_2013-06-21,30006.9349431
1_11_2013-06-28,39079.2531078
1_11_2013-07-05,32398.6429691
1_11_2013-07-12,33330.6759573
1_11_2013-07-19,26329.4791498
1_11_2013-07-26,29490.3732151
1_12_2012-11-02,9769.00424914
1_12_2012-11-09,10246.7403156
1_12_2012-11-16,8621.76032752
1_12_2012-11-23,9215.7972257
1_12_2012-11-30,7994.64919569
1_12_2012-12-07,10267.4893911
1_12_2012-12-14,7807.06100531
1_12_2012-12-21,9555.477035
1_12_2012-12-28,7858.3385184
1_12_2013-01-04,7761.13734591
1_12_2013-01-11,7987.88381246
1_12_2013-01-18,7786.51761134
1_12_2013-01-25,8889.62111467
1_12_2013-02-01,10068.6183356
1_12_2013-02-08,10324.938957
1_12_2013-02-15,9158.73614793
1_12_2013-02-22,9197.40489904
1_12_2013-03-01,9369.94307363
1_12_2013-03-08,9644.59132919
1_12_2013-03-15,11826.98402
1_12_2013-03-22,11839.7839353
1_12_2013-03-29,9530.62575982
1_12_2013-04-05,11933.8328669
1_12_2013-04-12,11946.245291
1_12_2013-04-19,11330.4111972
1_12_2013-04-26,11573.5147432
1_12_2013-05-03,11597.0292614
1_12_2013-05-10,11032.5740843
1_12_2013-05-17,10722.9222489
1_12_2013-05-24,11749.4007868
1_12_2013-05-31,11452.2876812
1_12_2013-06-07,11543.9469406
1_12_2013-06-14,10972.9439666
1_12_2013-06-21,11079.1317719
1_12_2013-06-28,11237.5906
1_12_2013-07-05,11823.8781371
1_12_2013-07-12,11024.8267187
1_12_2013-07-19,11161.6821572
1_12_2013-07-26,11336.5912055
1_13_2012-11-02,42913.2363948
1_13_2012-11-09,40122.8398032
1_13_2012-11-16,37740.1774217
1_13_2012-11-23,38732.8792372
1_13_2012-11-30,37432.6666757
1_13_2012-12-07,41594.0211245
1_13_2012-12-14,36470.2375022
1_13_2012-12-21,37496.8457696
1_13_2012-12-28,36624.3890587
1_13_2013-01-04,42047.4338174
1_13_2013-01-11,37578.8760998
1_13_2013-01-18,37234.3304597
1_13_2013-01-25,37061.2156117
1_13_2013-02-01,42022.8311188
1_13_2013-02-08,42174.7089869
1_13_2013-02-15,38316.4683616
1_13_2013-02-22,38519.1497825
1_13_2013-03-01,42183.1308458
1_13_2013-03-08,41620.3202583
1_13_2013-03-15,38221.1438628
1_13_2013-03-22,38428.6108688
1_13_2013-03-29,37872.2879349
1_13_2013-04-05,43385.7455718
1_13_2013-04-12,38407.7840387
1_13_2013-04-19,38548.6103165
1_13_2013-04-26,38800.3266449
1_13_2013-05-03,43252.6036346
1_13_2013-05-10,40296.4634666
1_13_2013-05-17,38560.3511631
1_13_2013-05-24,38765.4038172
1_13_2013-05-31,39260.3641074
1_13_2013-06-07,43105.355524
1_13_2013-06-14,38995.1835439
1_13_2013-06-21,38996.3266222
1_13_2013-06-28,39576.1272628
1_13_2013-07-05,43400.2868567
1_13_2013-07-12,39067.6391098
1_13_2013-07-19,38936.5721893
1_13_2013-07-26,38890.7319601
1_14_2012-11-02,14311.3650909
1_14_2012-11-09,14797.5320475
1_14_2012-11-16,17079.6506544
1_14_2012-11-23,37304.0163792
1_14_2012-11-30,33698.598366
1_14_2012-12-07,27419.8632341
1_14_2012-12-14,27355.7095487
1_14_2012-12-21,40600.4637405
1_14_2012-12-28,30122.955732
1_14_2013-01-04,14933.1734103
1_14_2013-01-11,14549.7180211
1_14_2013-01-18,13837.4832536
1_14_2013-01-25,12959.7263437
1_14_2013-02-01,15251.4717031
1_14_2013-02-08,17226.1854614
1_14_2013-02-15,17973.595299
1_14_2013-02-22,17607.7231386
1_14_2013-03-01,18498.3335394
1_14_2013-03-08,17430.3528529
1_14_2013-03-15,14745.6954192
1_14_2013-03-22,13304.3709347
1_14_2013-03-29,14751.4152354
1_14_2013-04-05,15045.6274184
1_14_2013-04-12,14297.6604707
1_14_2013-04-19,13740.7376072
1_14_2013-04-26,14035.1846879
1_14_2013-05-03,14657.9007314
1_14_2013-05-10,14236.3409949
1_14_2013-05-17,14408.5535823
1_14_2013-05-24,13618.9884493
1_14_2013-05-31,13935.1481327
1_14_2013-06-07,14067.7997149
1_14_2013-06-14,13701.0813053
1_14_2013-06-21,13507.4745762
1_14_2013-06-28,14522.7041381
1_14_2013-07-05,15146.4934692
1_14_2013-07-12,13960.4110967
1_14_2013-07-19,12226.8520868
1_14_2013-07-26,11904.5276604
1_16_2012-11-02,7162.5903108
1_16_2012-11-09,6511.64389971
1_16_2012-11-16,5858.42447421
1_16_2012-11-23,7545.34822813
1_16_2012-11-30,7007.25617916
1_16_2012-12-07,7331.04997692
1_16_2012-12-14,5229.67944111
1_16_2012-12-21,6937.41286848
1_16_2012-12-28,5606.85070371
1_16_2013-01-04,6592.63328145
1_16_2013-01-11,6218.14885854
1_16_2013-01-18,5987.51021929
1_16_2013-01-25,6469.4468234
1_16_2013-02-01,10086.083464
1_16_2013-02-08,13583.5984191
1_16_2013-02-15,13482.7733916
1_16_2013-02-22,16653.0143076
1_16_2013-03-01,22324.7485214
1_16_2013-03-08,24877.6235939
1_16_2013-03-15,30386.5997728
1_16_2013-03-22,41631.2215463
1_16_2013-03-29,26287.3288712
1_16_2013-04-05,38776.8172301
1_16_2013-04-12,44213.7639682
1_16_2013-04-19,47559.9564046
1_16_2013-04-26,38106.9567753
1_16_2013-05-03,45045.7720319
1_16_2013-05-10,40571.052575
1_16_2013-05-17,40770.941469
1_16_2013-05-24,41719.9406892
1_16_2013-05-31,43336.1227168
1_16_2013-06-07,38547.2151343
1_16_2013-06-14,34280.342619
1_16_2013-06-21,35348.5617303
1_16_2013-06-28,35710.2070861
1_16_2013-07-05,37472.7343669
1_16_2013-07-12,27264.6130682
1_16_2013-07-19,21910.2842773
1_16_2013-07-26,20281.8588173
1_17_2012-11-02,8256.56647717
1_17_2012-11-09,8423.33466197
1_17_2012-11-16,9644.04835904
1_17_2012-11-23,11759.2126815
1_17_2012-11-30,11357.5295061
1_17_2012-12-07,10570.0029659
1_17_2012-12-14,11494.9291589
1_17_2012-12-21,16373.7237261
1_17_2012-12-28,12731.6529504
1_17_2013-01-04,8607.54127998
1_17_2013-01-11,8794.77228412
1_17_2013-01-18,8258.38228338
1_17_2013-01-25,7797.59342251
1_17_2013-02-01,8713.15361431
1_17_2013-02-08,10305.9287435
1_17_2013-02-15,10775.041998
1_17_2013-02-22,10166.5072457
1_17_2013-03-01,10896.1932341
1_17_2013-03-08,10732.4998145
1_17_2013-03-15,10174.3689394
1_17_2013-03-22,9294.5977656
1_17_2013-03-29,9332.69475973
1_17_2013-04-05,9356.43511663
1_17_2013-04-12,9277.30504299
1_17_2013-04-19,8299.31817905
1_17_2013-04-26,9130.7664773
1_17_2013-05-03,7868.8779108
1_17_2013-05-10,8872.03083842
1_17_2013-05-17,8400.21967238
1_17_2013-05-24,7650.50057459
1_17_2013-05-31,7714.30199086
1_17_2013-06-07,8129.40818094
1_17_2013-06-14,7392.51922056
1_17_2013-06-21,7652.80665647
1_17_2013-06-28,8026.14844472
1_17_2013-07-05,8031.51409272
1_17_2013-07-12,7911.15809527
1_17_2013-07-19,7520.431014
1_17_2013-07-26,8378.93346089
1_18_2012-11-02,14562.417508
1_18_2012-11-09,12175.9837842
1_18_2012-11-16,14655.369514
1_18_2012-11-23,28444.7580984
1_18_2012-11-30,30449.8019067
1_18_2012-12-07,38829.1608312
1_18_2012-12-14,36295.9980306
1_18_2012-12-21,23515.8869232
1_18_2012-12-28,21945.8046606
1_18_2013-01-04,5490.28900396
1_18_2013-01-11,2330.50902183
1_18_2013-01-18,3733.13413831
1_18_2013-01-25,1819.65587167
1_18_2013-02-01,4171.17157307
1_18_2013-02-08,9820.45273349
1_18_2013-02-15,8569.94570686
1_18_2013-02-22,3003.14369346
1_18_2013-03-01,2136.84936434
1_18_2013-03-08,1403.06275945
1_18_2013-03-15,1495.46710019
1_18_2013-03-22,1854.99164746
1_18_2013-03-29,2811.97361302
1_18_2013-04-05,4738.7216968
1_18_2013-04-12,3610.62959876
1_18_2013-04-19,1753.48442007
1_18_2013-04-26,1516.34435349
1_18_2013-05-03,2963.53067126
1_18_2013-05-10,2736.92596371
1_18_2013-05-17,3256.16750032
1_18_2013-05-24,2.21613206552
1_18_2013-06-07,94.6900027275
1_18_2013-07-05,3.11024729777
1_19_2012-11-02,1050.67812881
1_19_2012-11-09,1031.24543043
1_19_2012-11-16,1070.95624389
1_19_2012-11-23,1046.90416937
1_19_2012-11-30,1089.95027264
1_19_2012-12-07,1327.02030774
1_19_2012-12-14,1341.50943164
1_19_2012-12-21,1583.8593321
1_19_2012-12-28,1337.17303559
1_19_2013-01-04,779.043514405
1_19_2013-01-11,769.634487411
1_19_2013-01-18,768.677099126
1_19_2013-01-25,732.73076444
1_19_2013-02-01,1060.98902147
1_19_2013-02-08,1082.9171617
1_19_2013-02-15,963.970138614
1_19_2013-02-22,1000.78400994
1_19_2013-03-01,1001.32165352
1_19_2013-03-08,1394.13798781
1_19_2013-03-15,1334.94413343
1_19_2013-03-22,1295.02625011
1_19_2013-03-29,1151.98675138
1_19_2013-04-05,1257.53055717
1_19_2013-04-12,1312.46513375
1_19_2013-04-19,1247.18968905
1_19_2013-04-26,1138.35629709
1_19_2013-05-03,1224.6527342
1_19_2013-05-10,1263.29016447
1_19_2013-05-17,1300.33975463
1_19_2013-05-24,1192.79418772
1_19_2013-05-31,1154.61683004
1_19_2013-06-07,1208.60361419
1_19_2013-06-14,1032.03523376
1_19_2013-06-21,1020.17823831
1_19_2013-06-28,1017.0152085
1_19_2013-07-05,1075.74477652
1_19_2013-07-12,1018.0708237
1_19_2013-07-19,1067.73711704
1_19_2013-07-26,1084.4557387
1_20_2012-11-02,3093.81553599
1_20_2012-11-09,2991.08580477
1_20_2012-11-16,3063.88137569
1_20_2012-11-23,5023.19881502
1_20_2012-11-30,3286.57894046
1_20_2012-12-07,3028.30033961
1_20_2012-12-14,3355.76906103
1_20_2012-12-21,4079.09742477
1_20_2012-12-28,4381.3150873
1_20_2013-01-04,3701.12657264
1_20_2013-01-11,3967.09292778
1_20_2013-01-18,3870.01878057
1_20_2013-01-25,3713.12741993
1_20_2013-02-01,4302.23756108
1_20_2013-02-08,5289.04956849
1_20_2013-02-15,4922.55175315
1_20_2013-02-22,4708.79854873
1_20_2013-03-01,5794.68710821
1_20_2013-03-08,5999.58684495
1_20_2013-03-15,4970.78256031
1_20_2013-03-22,4432.67212077
1_20_2013-03-29,4534.85788504
1_20_2013-04-05,4698.02207438
1_20_2013-04-12,4300.28908331
1_20_2013-04-19,4367.39882737
1_20_2013-04-26,4361.97433273
1_20_2013-05-03,4473.43785477
1_20_2013-05-10,4570.36554192
1_20_2013-05-17,4611.5001719
1_20_2013-05-24,4429.92947235
1_20_2013-05-31,4724.5652591
1_20_2013-06-07,4629.89624229
1_20_2013-06-14,4412.63097731
1_20_2013-06-21,4647.78481338
1_20_2013-06-28,4549.34990866
1_20_2013-07-05,4896.00933329
1_20_2013-07-12,4566.9587285
1_20_2013-07-19,4425.41949174
1_20_2013-07-26,4149.50864354
1_21_2012-11-02,8293.3841104
1_21_2012-11-09,8153.83385743
1_21_2012-11-16,7845.46527054
1_21_2012-11-23,9457.15796345
1_21_2012-11-30,8835.89768222
1_21_2012-12-07,9631.55315848
1_21_2012-12-14,10113.4551783
1_21_2012-12-21,12235.7858038
1_21_2012-12-28,8328.48856945
1_21_2013-01-04,7426.05049288
1_21_2013-01-11,7249.89641797
1_21_2013-01-18,7092.28603905
1_21_2013-01-25,7010.07438715
1_21_2013-02-01,7714.078277
1_21_2013-02-08,8127.13277214
1_21_2013-02-15,8061.93554293
1_21_2013-02-22,7948.68431434
1_21_2013-03-01,8536.32880588
1_21_2013-03-08,7668.2627439
1_21_2013-03-15,7672.33455436
1_21_2013-03-22,7501.02953652
1_21_2013-03-29,7478.43383991
1_21_2013-04-05,7966.22045647
1_21_2013-04-12,7362.55201442
1_21_2013-04-19,7227.06653486
1_21_2013-04-26,7310.37505149
1_21_2013-05-03,7868.12650271
1_21_2013-05-10,7580.68179514
1_21_2013-05-17,7222.75371089
1_21_2013-05-24,7147.0777835
1_21_2013-05-31,7210.99973868
1_21_2013-06-07,7609.30683151
1_21_2013-06-14,7320.54006092
1_21_2013-06-21,7027.79266054
1_21_2013-06-28,6855.80973168
1_21_2013-07-05,7620.2465449
1_21_2013-07-12,7014.63559102
1_21_2013-07-19,7008.04550518
1_21_2013-07-26,6908.25411378
1_22_2012-11-02,8440.47483797
1_22_2012-11-09,7598.77296277
1_22_2012-11-16,8138.39772969
1_22_2012-11-23,16196.6830371
1_22_2012-11-30,11833.3169938
1_22_2012-12-07,10343.3191334
